amfi_code,sortino_ratio
100016,-0.34819649329934405
100025,-0.9153710101807714
100033,1.8238241972627256
101206,1.7855924363362796
101207,0.2746145221586029
101208,-1.324583285823514
102885,1.4181944681640521
102886,-0.3449731643077219
102887,1.0790158792659714
118632,1.839859107830758
118633,1.1401442384066063
118634,0.7441226683128752
118635,1.1306024144645777
118636,-0.5990167703213257
119092,0.05190796692700414
119093,0.21952818138979105
119094,1.6983896156668365
119095,-0.12704973476982598
119120,-0.36652252228876125
119551,2.1039516148962734
119552,1.6039810655884823
119598,1.661244660345065
119599,-0.09408012699156236
120503,1.3290229473711945
120504,1.785043063465815
120505,2.0100351918608137
120506,1.0883412607732081
120507,0.8275741041490513
120841,0.8548215679037281
120842,0.12351907927453658
120843,2.352942421574321
120844,-0.1478147085243143
125497,1.3111598203205583
125498,0.5049628265693054
148567,2.3683417955595116
148568,1.6183896540412908
148569,2.135082847700755
149322,0.7542016156829248
149323,1.8689354443325543
149324,1.6071246506009205
